SAP+NOME,UF,Semana,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,9,2017,4.99,0.5022971994169113,50.22971994169114,4.99,10.0,49.900000000000006,18.259999999999998,36.34,18.08,1.8079999999999998
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,9,2018,3.99,0.3338810480107668,33.388104801076686,3.99,15.0,59.85,14.579999999999998,43.61,29.03,1.9353333333333333
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,10,2017,4.99,0.5071931160276792,50.71931160276792,4.99,8.0,39.92,14.73,29.080000000000002,14.35,1.79375
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,10,2018,5.99,0.515,51.5,5.49,2.0,10.98,4.12,8.0,3.88,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,11,2017,4.99,0.5076707778930509,50.7670777893051,4.99,7.0,34.93,12.879999999999999,25.47,12.59,1.7985714285714285
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,11,2018,5.99,0.515,51.5,5.49,1.0,5.49,2.06,4.0,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,12,2017,3.3233333333333337,0.2240102769495935,22.40102769495935,3.3233333333333337,37.0,116.63000000000001,18.01,84.94,66.93,1.8089189189189192
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,12,2018,4.99,0.3986861142002584,39.868611420025836,4.74,12.0,58.38,17.939999999999998,41.19,23.25,1.9375
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,13,2017,4.19,0.366377090471332,36.6377090471332,4.19,8.0,33.92,10.21,24.73,14.52,1.815
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,13,2018,5.99,0.561672494970455,56.1672494970455,5.99,3.0,17.97,7.32,13.07,5.75,1.9166666666666667
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,14,2017,4.99,0.5015884226425031,50.15884226425032,4.99,11.0,54.89,20.13,39.99,19.86,1.8054545454545454
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,14,2018,5.99,0.5053059105225666,50.53059105225665,5.550000000000001,4.0,21.32,7.29,15.05,7.76,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,15,2017,4.99,0.5056103383326113,50.56103383326112,4.99,6.0,29.94,11.04,21.830000000000002,10.79,1.7983333333333331
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,15,2018,5.99,0.555045871559633,55.5045871559633,5.99,2.0,11.98,4.84,8.72,3.88,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,16,2017,4.99,0.506868131868132,50.6868131868132,4.99,2.0,9.98,3.69,7.28,3.59,1.795
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,16,2018,5.99,0.5553325688073395,55.53325688073395,5.99,6.0,35.94,14.53,26.160000000000004,11.629999999999999,1.9383333333333332
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,17,2017,4.99,0.498969071840525,49.8969071840525,4.99,8.0,39.92,14.52,29.08,14.559999999999999,1.8199999999999998
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,17,2018,5.99,0.555045871559633,55.5045871559633,5.99,1.0,5.99,2.42,4.36,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,18,2017,4.99,0.5046423658872078,50.46423658872077,4.99,5.0,24.950000000000003,9.23,18.19,8.96,1.7920000000000003
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,19,2017,4.99,0.519230769230769,51.9230769230769,4.99,1.0,4.99,1.89,3.64,1.75,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,20,2017,4.99,0.5,50.0,4.99,1.0,4.99,1.82,3.64,1.82,1.82
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,21,2017,2.99,0.17782874617737,17.782874617737,2.99,8.0,23.92,3.0599999999999996,17.44,14.379999999999999,1.7974999999999999
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,22,2017,2.99,0.165137614678899,16.5137614678899,2.99,1.0,2.99,0.36,2.18,1.82,1.82
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,23,2017,4.99,0.510820965975605,51.0820965975605,4.99,6.0,29.94,11.15,21.830000000000002,10.68,1.78
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,24,2017,4.19,0.40380456279229937,40.38045627922994,4.19,15.0,60.849999999999994,16.799999999999997,44.3,27.5,1.8333333333333333
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,25,2017,3.99,0.38797112850025534,38.797112850025535,3.99,4.0,15.96,4.54,11.629999999999999,7.09,1.7725
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,26,2017,4.49,0.4468341362697865,44.68341362697865,4.49,6.0,24.939999999999998,7.54,18.169999999999998,10.63,1.7716666666666667
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,27,2017,4.656666666666667,0.46299451875834263,46.29945187583426,4.656666666666667,4.0,18.96,6.54,13.81,7.2700000000000005,1.8175000000000001
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,28,2017,4.99,0.513736263736264,51.3736263736264,4.99,1.0,4.99,1.87,3.64,1.77,1.77
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,29,2017,4.99,0.490358126721763,49.0358126721763,4.99,1.0,4.99,1.78,3.63,1.85,1.85
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,30,2017,4.99,0.490358126721763,49.0358126721763,4.99,1.0,4.99,1.78,3.63,1.85,1.85
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,31,2017,4.99,0.5155677655677656,51.55677655677656,4.99,3.0,14.97,5.63,10.92,5.29,1.7633333333333334
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,32,2017,4.99,0.5185685526594614,51.85685526594615,4.99,10.0,49.9,18.82,36.32,17.5,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,33,2017,4.99,0.490358126721763,49.0358126721763,4.99,1.0,4.99,1.78,3.63,1.85,1.85
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,36,2017,4.99,0.510989010989011,51.0989010989011,4.99,1.0,4.99,1.86,3.64,1.78,1.78
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,38,2017,4.99,0.519230769230769,51.9230769230769,4.99,3.0,14.97,5.67,10.92,5.25,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,39,2017,4.99,0.471074380165289,47.1074380165289,4.99,1.0,4.99,1.71,3.63,1.92,1.92
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,42,2017,5.99,0.5625,56.25,5.49,1.0,5.49,2.25,4.0,1.75,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,46,2017,5.99,0.56,56.0,5.49,2.0,10.98,4.48,8.0,3.52,1.76
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,50,2017,3.99,0.398625429553265,39.8625429553265,3.99,1.0,3.99,1.16,2.91,1.75,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,51,2017,3.99,0.398625429553265,39.8625429553265,3.99,3.0,11.97,3.4799999999999995,8.73,5.25,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,52,2017,3.99,0.398625429553265,39.8625429553265,3.99,2.0,7.98,2.32,5.82,3.5,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,1,2017,4.74,0.587795249097149,58.7795249097149,4.74,4.0,18.96,9.18,15.54,6.36,1.59
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,1,2018,5.99,0.6233092859785427,62.330928597854275,5.49,11.0,60.39,30.59,49.519999999999996,18.93,1.720909090909091
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,2,2017,4.790000000000001,0.5890644114165746,58.90644114165748,4.590000000000001,10.0,45.900000000000006,22.27,37.620000000000005,15.35,1.535
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,2,2018,4.132857142857143,0.5007987750094209,50.079877500942096,4.132857142857143,29.0,118.71000000000001,48.3,96.81,48.51,1.6727586206896552
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,3,2017,4.99,0.5981051344743274,59.810513447432754,4.99,11.0,54.89,26.71,44.989999999999995,18.28,1.6618181818181819
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,3,2018,3.99,0.49953278967040426,49.953278967040426,3.99,20.0,79.8,32.67,65.4,32.730000000000004,1.6365000000000003
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,4,2017,4.99,0.6008174549882696,60.081745498826955,4.870952380952382,25.0,121.75,59.56,99.78999999999999,40.23,1.6092
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,4,2018,4.99,0.5371866088139685,53.71866088139685,4.74,14.0,63.36,27.51,51.980000000000004,24.47,1.7478571428571428
