GrpProd;UF;Ano;Mes;Dia;QTD;Preço;CMV/QTD;DPPsic
0.0;AL;2017;3;10;7.0;7.99;4.348571428571429;1.0
0.0;AL;2017;3;11;6.0;7.989999999999999;4.325;1.0
0.0;AL;2017;3;12;6.0;7.989999999999999;4.345;1.0
0.0;AL;2017;3;17;25.0;4.99;4.332;1.0
0.0;AL;2017;3;19;24.0;4.99;4.3575;1.0
0.0;AL;2017;3;20;33.0;4.99;4.302424242424242;1.0
0.0;AL;2017;3;21;21.0;4.99;4.307619047619047;1.0
0.0;AL;2017;3;22;39.0;4.99;4.303589743589744;1.0
0.0;AL;2017;3;24;16.0;4.95875;4.32375;0.0
0.0;AL;2017;3;25;17.0;4.96058823529412;4.328823529411765;0.0
0.0;AL;2017;3;26;8.0;4.99;4.34625;1.0
0.0;AL;2017;3;27;24.0;4.99;4.320416666666667;1.0
0.0;AL;2017;3;28;21.0;4.99;4.333333333333333;1.0
0.0;AL;2017;3;29;24.0;4.94833333333333;4.325;0.0
0.0;AL;2017;4;1;18.0;4.99;4.359444444444445;1.0
0.0;AL;2017;4;3;10.0;4.99;4.35;1.0
0.0;AL;2017;4;6;18.0;4.99;4.359444444444445;1.0
0.0;AL;2017;4;7;9.0;4.99;4.35;1.0
0.0;AL;2017;4;9;12.0;4.99;4.36;1.0
0.0;AL;2017;4;11;31.0;4.99;4.354838709677419;1.0
0.0;AL;2017;4;12;31.0;4.99;4.365161290322581;1.0
0.0;AL;2017;4;13;34.0;4.99;4.3555882352941175;1.0
0.0;AL;2017;4;14;11.0;4.99;4.3500000000000005;1.0
0.0;AL;2017;4;15;25.0;4.99;4.3492;1.0
0.0;AL;2017;4;16;6.0;4.99;4.3566666666666665;1.0
0.0;AL;2017;4;17;28.0;4.99;4.354285714285714;1.0
0.0;AL;2017;4;18;23.0;4.94652173913043;4.363043478260869;0.0
0.0;AL;2017;4;19;30.0;4.99;4.362333333333334;1.0
0.0;AL;2017;4;22;42.0;4.99;4.363809523809524;1.0
0.0;AL;2017;4;24;28.0;4.99;4.352142857142857;1.0
0.0;AL;2017;4;25;24.0;4.99;4.359583333333333;1.0
0.0;AL;2017;4;26;37.0;4.99;4.358648648648649;1.0
0.0;AL;2017;4;27;23.0;4.99;4.362173913043479;1.0
0.0;AL;2017;4;28;26.0;4.99;4.350384615384615;1.0
0.0;AL;2017;4;29;28.0;4.99;4.3575;1.0
0.0;AL;2017;4;30;39.0;4.99;4.355128205128205;1.0
0.0;AL;2017;5;2;56.0;4.99;4.353035714285714;1.0
0.0;AL;2017;5;3;21.0;4.99;4.354285714285714;1.0
0.0;AL;2017;5;4;37.0;4.99;4.364594594594595;1.0
0.0;AL;2017;5;5;26.0;4.95153846153846;4.3573076923076925;0.0
0.0;AL;2017;5;6;12.0;4.99;4.3625;1.0
0.0;AL;2017;5;7;7.0;4.99;4.348571428571429;1.0
0.0;AL;2017;5;8;17.0;4.99;4.354705882352941;1.0
0.0;AL;2017;5;9;7.0;4.99;4.352857142857142;1.0
0.0;AL;2017;5;10;10.0;4.99;4.349;1.0
